ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
SBR16_2,D-F,M4/5,Southam,Central,-19.57,10.01,-19.79,8.40,-11.86,-0.22,-1.61,7.93,8.09,-0.228470249,,
SBR16_6,D-F,2/U3,Southam,Central,-19.98,9.08,-19.13,9.02,-14.08,0.86,-0.07,5.05,5.15,0.874476114,,
SBR16_7,D-F,M4/5,Southam,Central,-19.87,9.55,-19.72,10.61,-15.38,0.14,1.06,4.34,4.43,0.146238557,,
SBR16_11,D-F,F5,Southam,Central,-20.22,10.54,-19.75,10.47,-12.86,0.46,-0.07,6.89,7.03,0.47153218,,
SBR16_12,D-F,U3,Southam,Central,-19.87,9.61,-19.79,10.17,-14.46,0.08,0.56,5.33,5.43,0.081621604,,
SBR16_13,D-F,Adult,Southam,Central,-19.90,9.65,-19.44,9.18,-12.35,0.46,-0.46,7.09,7.23,0.471039409,,
SRD88_17,B,M5,"Mill Hill, Deal",Kent and East Sussex,-19.67,10.21,-19.04,13.39,-13.57,0.63,3.19,5.46,5.57,0.645020894,,
SRD88_22,B/C,M4,"Mill Hill, Deal",Kent and East Sussex,-19.91,9.39,-19.80,9.63,-13.13,0.11,0.25,6.67,6.81,0.110873945,,
SRD88_25B,B/C,F4,"Mill Hill, Deal",Kent and East Sussex,-20.06,8.62,-20.18,9.64,-13.87,-0.11,1.02,6.31,6.44,-0.112592464,,
SRD88_33,B-D,F4,"Mill Hill, Deal",Kent and East Sussex,,,-19.79,10.20,-13.28,,,6.51,6.64,,,
SRD88_34,B-D,M4,"Mill Hill, Deal",Kent and East Sussex,-19.77,9.75,-19.70,9.62,-13.22,0.07,-0.13,6.48,6.61,0.072432202,,
SRD88_57,B/C,M4,"Mill Hill, Deal",Kent and East Sussex,-20.27,9.17,-19.61,8.59,-13.01,0.65,-0.58,6.60,6.73,0.668208354,,
SRD88_73,B-D,F4,"Mill Hill, Deal",Kent and East Sussex,-20.9,8.5,-20.26,9.11,-13.92,0.64,0.61,6.34,6.47,0.653321077,,
SRD88_75,C,M4/5,"Mill Hill, Deal",Kent and East Sussex,-20.11,9.13,-19.63,9.02,-13.96,0.49,-0.11,5.67,5.78,0.496316238,,
SRD88_76,C,M4/5,"Mill Hill, Deal",Kent and East Sussex,,,-19.88,9.58,-14.17,,,5.71,5.83,,,
SRD88_80,B,M4,"Mill Hill, Deal",Kent and East Sussex,,,-19.70,10.22,-14.26,,,5.44,5.55,,,
SRD88_82,C,M5,"Mill Hill, Deal",Kent and East Sussex,,,-20.06,10.23,-13.40,,,6.66,6.79,,,
SRD88_83,C,F5,"Mill Hill, Deal",Kent and East Sussex,-20.02,8.22,-19.32,8.37,-11.93,0.69,0.15,7.39,7.54,0.705453215,,
SRD88_84,C,F3/4,"Mill Hill, Deal",Kent and East Sussex,-20.07,8.48,-19.89,9.84,-13.91,0.17,1.37,5.99,6.11,0.176882841,,
SRD88_89,B,M4,"Mill Hill, Deal",Kent and East Sussex,,,-19.91,10.23,-13.63,,,6.28,6.41,,,
